team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
Rochelle Rochelle the Musical,2024-08-09,4,5,4,2,5,10,10,8,4,6,6,6,6,76,40,36,11,10,10
HaberMetrics,2024-08-10,5,6,10,6,2,12,9,3,6,10,14,8,2,93,50,43,7,7,8
Boba Chette,2024-08-10,2,2,2,2,11,2,2,1,1,7,2,1,3,38,23,15,14,13,14
Bug Monty,2024-08-10,12,13,9,14,13,14,14,11,9,13,12,11,13,158,89,69,1,1,1
FightinHorse&Buggies,2024-08-10,13,14,14,4,14,9,13,14,11,12,7,13,7,145,81,64,2,3,2
Forever Jung,2024-08-10,11,8,12,12,7,13,11,13,14,4,5,12,9,131,74,57,4,4,5
Friends O'Clyde,2024-08-10,7,7,8,1,7,4,3,7,10,3,1,9,13,80,37,43,9,11,8
Haders gonna Hate,2024-08-10,3,3,3,6,3,7,4,4,2,2,2,3,4,46,29,17,13,12,12
Hobo Ken,2024-08-10,10,12,7,6,12,1,8,9,12,11,9,14,5,116,56,60,5,6,4
Mighty Banshees,2024-08-10,14,10,13,13,10,11,12,12,13,5,8,7,12,140,83,57,3,2,5
Nola's Ark,2024-08-10,9,10,11,5,9,6,7,5,7,9,9,5,11,103,57,46,6,5,7
The Flying Rutschmen,2024-08-10,8,4,5,10,4,8,6,5,4,8,12,4,1,79,45,34,11,8,11
Lux Æterna,2024-08-10,6,9,6,9,6,5,4,2,3,1,2,2,6,61,45,16,12,8,13
Ya Gotta Beliebe,2024-08-10,1,1,1,11,1,3,1,10,8,13,11,10,10,81,19,62,8,14,3
Rochelle Rochelle the Musical,2024-08-10,4,5,4,3,5,10,10,8,5,6,6,6,8,80,41,39,9,10,10
HaberMetrics,2024-08-11,5,6,10,6,2,12,9,3,6,10,12,7,2,90,50,40,7,7,9
Boba Chette,2024-08-11,2,2,3,2,11,2,2,1,1,7,2,1,2,38,24,14,14,13,14
Bug Monty,2024-08-11,12,13,9,14,13,14,14,11,9,14,12,11,13,159,89,70,1,1,1
FightinHorse&Buggies,2024-08-11,13,14,14,4,14,9,13,14,11,11,7,13,7,144,81,63,2,3,2
Forever Jung,2024-08-11,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,5
Friends O'Clyde,2024-08-11,7,7,8,1,8,3,3,7,10,3,1,9,13,80,37,43,10,11,8
Haders gonna Hate,2024-08-11,3,3,2,8,3,7,4,4,2,2,3,3,4,48,30,18,13,12,12
Hobo Ken,2024-08-11,9,10,7,6,12,1,7,9,13,12,9,14,5,114,52,62,5,6,3
Mighty Banshees,2024-08-11,14,12,13,13,10,11,12,12,12,5,8,7,12,141,85,56,3,2,6
Nola's Ark,2024-08-11,10,11,11,5,9,6,8,5,7,9,9,5,11,106,60,46,6,5,7
The Flying Rutschmen,2024-08-11,8,4,5,10,4,8,6,6,5,8,12,4,1,81,45,36,8,8,11
Lux Æterna,2024-08-11,5,8,6,9,6,5,4,2,3,1,3,2,6,60,43,17,12,9,13
Ya Gotta Beliebe,2024-08-11,1,1,1,11,1,4,1,10,8,12,11,10,10,81,20,61,8,14,4
Rochelle Rochelle the Musical,2024-08-11,4,5,4,2,5,10,10,7,4,6,6,6,8,77,40,37,11,10,10
HaberMetrics,2024-08-12,5,6,10,6,2,11,9,3,6,9,12,7,2,88,49,39,7,7,9
Boba Chette,2024-08-12,2,2,2,2,11,2,2,1,1,7,2,1,2,37,23,14,14,13,14
Bug Monty,2024-08-12,12,13,9,14,14,13,14,11,8,13,12,11,14,158,89,69,1,1,1
FightinHorse&Buggies,2024-08-12,13,14,14,4,13,8,13,14,11,11,7,13,7,142,79,63,3,3,2
Forever Jung,2024-08-12,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-12,7,7,7,1,8,3,3,7,10,3,1,9,13,79,36,43,9,11,8
Haders gonna Hate,2024-08-12,3,3,3,7,4,7,4,4,2,2,2,3,4,48,31,17,13,12,13
Hobo Ken,2024-08-12,10,11,8,7,12,1,8,9,12,14,9,14,5,120,57,63,5,5,2
Mighty Banshees,2024-08-12,14,12,12,13,10,12,12,12,13,5,8,8,12,143,85,58,2,2,5
Nola's Ark,2024-08-12,9,10,11,5,9,6,7,4,7,10,9,5,11,103,57,46,6,5,7
The Flying Rutschmen,2024-08-12,8,4,5,10,3,8,6,6,4,8,12,4,1,79,44,35,9,9,11
Lux Æterna,2024-08-12,6,8,6,9,6,5,5,2,3,1,4,2,6,63,45,18,12,8,12
Ya Gotta Beliebe,2024-08-12,1,1,1,11,1,4,1,10,9,12,11,10,10,82,20,62,8,14,4
Rochelle Rochelle the Musical,2024-08-12,4,5,4,2,5,10,10,7,5,6,6,6,7,77,40,37,11,10,10
HaberMetrics,2024-08-13,5,6,10,5,2,12,9,3,6,9,14,7,3,91,49,42,7,7,8
Boba Chette,2024-08-13,2,2,2,2,11,2,2,1,1,7,3,1,2,38,23,15,14,13,13
Bug Monty,2024-08-13,13,13,9,14,14,14,14,10,8,13,12,11,14,159,91,68,1,1,1
FightinHorse&Buggies,2024-08-13,12,14,14,3,13,8,13,14,11,11,7,13,8,141,77,64,3,3,2
Forever Jung,2024-08-13,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
